Model,Accuracy,Precision,Recall,F1_Score
GaussianNB,0.4577405183184878,0.4056528957291733,0.4577405183184878,0.36129571995798715
Linear SVM,0.457216557172222,0.3244618528981274,0.457216557172222,0.3546884668597733
Polynomial SVM Order 2,0.4511708516383862,0.3609273592646172,0.4511708516383862,0.3252301563780129
Polynomial SVM Order 3,0.45834508887187136,0.46236949996645077,0.45834508887187136,0.3410441944792885
Gaussian SVM,0.48272943452500905,0.4992006483321511,0.48272943452500905,0.3918361619171695
LGBM,0.7146830035065093,0.714025689582839,0.7146830035065093,0.7093144967773991
CatBoost,0.6761517069041957,0.6779422878077942,0.6761517069041957,0.6672448414880259
Random_Forest,0.7119422836645036,0.7099803157535362,0.7119422836645036,0.7054730623139246
Random_Forest_2,0.714360565878038,0.7124256797929414,0.714360565878038,0.7079068388119438
Random_Forest_3,0.7129902059570352,0.7111657052727451,0.7129902059570352,0.7063639180305197
