Unnamed: 0,FullDate,Brand Name,Region Name,Suburb,Postcode,Lat,Long,Diesel,Premium 98,Premium 95,Unleaded 91,Premium Diesel,LPG,Low Aromatic Fuel,Ethanol 105 (E85),Ethanol 94 (E10),Bio Diesel 20
0,2018-04-01,Independent,Darwin,Darwin,800.0,-12.453169,130.838155,125.9,0.0,0.0,125.9,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-04-01,Coles Express,Darwin,Darwin,800.0,-12.454479,130.838773,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-04-01,United,Darwin,Darwin,800.0,-12.458111,130.836149,147.7,0.0,157.7,146.7,0.0,0.0,0.0,0.0,145.7,0.0
3,2018-04-01,Puma Energy,Darwin,Darwin,800.0,-12.459371,130.837418,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-04-01,Coles Express,Darwin,Casuarina,810.0,-12.376822,130.882005,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-04-01,Coles Express,Darwin,NIGHTCLIFF,810.0,-12.388251,130.851979,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-04-01,Caltex Woolworths,Darwin,Casuarina,810.0,-12.372055,130.883614,0.0,0.0,159.9,146.9,147.9,0.0,0.0,0.0,0.0,0.0
8,2018-04-01,United,Darwin,COCONUT GROVE,810.0,-12.402207,130.855703,147.3,0.0,156.5,145.5,0.0,119.9,0.0,0.0,0.0,0.0
9,2018-04-01,United,Darwin,WANGURI,810.0,-12.376162,130.88528,147.7,0.0,156.7,145.7,0.0,119.9,0.0,0.0,144.7,0.0
10,2018-04-01,Puma Energy,Darwin,NIGHTCLIFF,810.0,-12.3877,130.85206,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-04-01,Puma Energy,Darwin,Casuarina,810.0,-12.373514,130.883836,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-04-01,Puma Energy,Darwin,Jingili,810.0,-12.394744,130.87797,147.9,176.9,0.0,146.9,0.0,0.0,0.0,0.0,0.0,0.0
13,2018-04-01,BP,Darwin,COCONUT GROVE,810.0,-12.394908,130.85574,147.9,0.0,156.9,147.9,0.0,0.0,0.0,0.0,0.0,0.0
14,2018-04-01,Caltex Woolworths,Darwin,Karama,812.0,-12.401029,130.916358,0.0,0.0,159.9,146.9,147.9,0.0,0.0,0.0,0.0,0.0
15,2018-04-01,Puma Energy,Darwin,Malak,812.0,-12.396662,130.90436,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
16,2018-04-01,Caltex Woolworths,Darwin,NIGHTCLIFF,814.0,-12.389526,130.851965,0.0,0.0,159.9,146.9,148.3,119.9,0.0,0.0,0.0,0.0
17,2018-04-01,FuelXpress,Darwin,Winnellie,820.0,-12.43158,130.874918,139.5,129.9,148.5,137.5,0.0,0.0,0.0,0.0,0.0,0.0
18,2018-04-01,Caltex,Darwin,Eaton,820.0,-12.397213,130.859903,0.0,177.9,158.9,146.9,149.5,0.0,0.0,0.0,0.0,0.0
19,2018-04-01,United,Darwin,LUDMILLA,820.0,-12.40943,130.855712,147.3,0.0,156.5,145.5,0.0,119.9,0.0,0.0,144.5,0.0
20,2018-04-01,United,Darwin,Winnellie,820.0,-12.426162,130.893602,147.7,0.0,157.7,146.7,0.0,109.9,0.0,0.0,145.7,0.0
21,2018-04-01,United,Darwin,PARAP,820.0,-12.4329,130.848332,147.7,0.0,157.7,146.7,0.0,0.0,0.0,145.9,145.7,0.0
22,2018-04-01,Puma Energy,Darwin,Fannie Bay,820.0,-12.424795,130.839007,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
23,2018-04-01,Puma Energy,Darwin,LUDMILLA,820.0,-12.426896,130.855965,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-04-01,Independent,Darwin,Winnellie,820.0,-12.430993,130.891404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2018-04-01,Coles Express,Darwin,Winnellie,821.0,-12.425722,130.869226,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-04-01,Caltex,Darwin,Wishart,822.0,-12.461616,130.929661,147.9,0.0,0.0,0.0,149.9,0.0,0.0,0.0,0.0,0.0
53,2018-04-01,BP,Darwin,Wishart,822.0,-12.457972,130.941972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2018-04-01,Caltex,Darwin,Berrimah,828.0,-12.427976,130.9131,0.0,177.9,158.9,146.9,149.7,0.0,0.0,0.0,0.0,0.0
55,2018-04-01,Puma Energy,Darwin,Berrimah,828.0,-12.433454,130.924834,147.9,176.9,0.0,146.9,0.0,109.9,0.0,0.0,0.0,0.0
56,2018-04-01,Puma Energy,Palmerston,Pinelands,828.0,-12.456695,130.966706,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
57,2018-04-01,Puma Energy,Darwin,Berrimah,828.0,-12.434533,130.923847,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
58,2018-04-01,Puma Energy,Darwin,Wishart,828.0,-12.460552,130.926545,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
59,2018-04-01,BP,Darwin,Berrimah,828.0,-12.447604,130.94755,147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2018-04-01,Coles Express,Palmerston,PALMERSTON,830.0,-12.473721,130.9841,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
62,2018-04-01,Coles Express,Palmerston,PALMERSTON,830.0,-12.480144,130.970135,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
63,2018-04-01,Caltex,Palmerston,Yarrawonga,830.0,-12.469825,130.987781,0.0,177.9,158.9,146.9,149.9,109.9,0.0,0.0,0.0,0.0
64,2018-04-01,Puma Energy,Palmerston,PALMERSTON,830.0,-12.482142,130.985802,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
65,2018-04-01,Caltex Woolworths,Palmerston,Bakewell,831.0,-12.499875,130.986152,0.0,0.0,159.9,146.9,147.7,0.0,0.0,0.0,0.0,0.0
66,2018-04-01,Caltex Woolworths,Palmerston,PALMERSTON,831.0,-12.470486,130.984279,147.9,0.0,159.9,146.9,149.9,0.0,0.0,0.0,0.0,0.0
67,2018-04-01,United,Palmerston,ROSEBERY,832.0,-12.508645,130.990031,146.7,0.0,157.7,146.7,0.0,0.0,0.0,145.9,145.7,0.0
73,2018-04-01,BP,Palmerston,Holtze,835.0,-12.45187,130.96321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2018-04-02,Independent,Darwin,Darwin,800.0,-12.453169,130.838155,125.9,0.0,0.0,125.9,0.0,0.0,0.0,0.0,0.0,0.0
217,2018-04-02,Coles Express,Darwin,Darwin,800.0,-12.454479,130.838773,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
218,2018-04-02,United,Darwin,Darwin,800.0,-12.458111,130.836149,147.7,0.0,157.7,146.7,0.0,0.0,0.0,0.0,145.7,0.0
219,2018-04-02,Puma Energy,Darwin,Darwin,800.0,-12.459371,130.837418,147.9,176.9,157.9,146.9,0.0,0.0,0.0,0.0,0.0,0.0
221,2018-04-02,Coles Express,Darwin,Casuarina,810.0,-12.376822,130.882005,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
222,2018-04-02,Coles Express,Darwin,NIGHTCLIFF,810.0,-12.388251,130.851979,149.9,0.0,166.9,149.9,0.0,0.0,0.0,0.0,0.0,0.0
223,2018-04-02,Caltex Woolworths,Darwin,Casuarina,810.0,-12.372055,130.883614,0.0,0.0,159.9,146.9,147.9,0.0,0.0,0.0,0.0,0.0
224,2018-04-02,United,Darwin,COCONUT GROVE,810.0,-12.402207,130.855703,147.3,0.0,156.5,145.5,0.0,119.9,0.0,0.0,0.0,0.0
225,2018-04-02,United,Darwin,WANGURI,810.0,-12.376162,130.88528,147.7,0.0,156.7,145.7,0.0,119.9,0.0,0.0,144.7,0.0
