Count_Date,State,Trips/hour,comparison,description,electorate,latitude,longitude,not known,site_id,year,Legs
2019-09-03,NT,23.0,-0.070175439,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,130.837902,0,5467.0,2019,3.0
2019-09-03,NT,44.8,-0.04494382,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,130.835209,10,5468.0,2019,4.0
2019-09-03,NT,42.0,-0.05952381,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,130.836128,1,5469.0,2019,4.0
2019-09-24,NT,48.4,-0.011494253,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,130.837168,1,5470.0,2019,4.0
2019-09-03,NT,25.0,-0.253968254,"Gilruth Ave [N], Smith St [SE], Lambell Tce [SW], Kahlin Ave [NW]",Darwin,-12.452352,130.830522,1,5471.0,2019,4.0
2019-09-03,NT,31.6,0.166666667,"Atkins Dr [N], Gilruth Ave [NE], Gardens Rd [SE], Gilruth Ave [S], Maria Liveris Dr [SW]",Darwin,-12.444327,130.834038,3,5472.0,2019,5.0
2019-09-03,NT,60.8,-0.131147541,"East Point Rd [N], Goyder Rd [E], Gilruth Ave [SW], Goyder Rd [W]",Darwin,-12.438015,130.837831,5,5473.0,2019,4.0
2019-09-03,NT,49.8,-0.054945055,"Gregory St [E], East Point Rd [S], East Point Rd [N]",Darwin,-12.432258,130.837681,86,5474.0,2019,3.0
2019-09-03,NT,55.6,0.24691358,"Dick Ward Dr [E], Ross Smith Ave [SE], Ross Smith Ave [W]",Darwin,-12.424494,130.838362,0,5475.0,2019,3.0
2019-09-03,NT,48.4,0.25,"Dick Ward Dr [NE], Douglas St [SE], Dick Ward Dr [SW]",Darwin,-12.42052,130.847323,0,5476.0,2019,3.0
2019-09-03,NT,48.8,0.257142857,"Dick Ward Dr [N], Fitzer Dr [E], Dick Ward Dr [S]",Darwin,-12.410053,130.8505,1,5477.0,2019,3.0
2019-09-03,NT,24.8,-0.053571429,"Progress Dr [E], Dick Ward Dr [S], Progress Dr [W]",Darwin,-12.387972,130.852268,1,5478.0,2019,3.0
2019-09-03,NT,59.8,-0.189393939,"Casuarina Dr/Shared Path [E], Nightcliff Rd [SE], Casuarina Dr/Shared Path [SW], Foreshore Shared Path [W]",Darwin,-12.376827,130.849571,0,5480.0,2019,4.0
2019-09-03,NT,25.2,0.484848485,"Rossiter St [NE], Ryland Rd [SE], Rossiter St [SW], Ryland Rd [NW]",Darwin,-12.380754,130.85885,1,5481.0,2019,4.0
2019-09-03,NT,33.6,0.24,"Chapman Rd [NE], Nightcliff Rd [SE], Nightcliff Rd [NW]",Darwin,-12.384294,130.855426,0,5482.0,2019,3.0
2019-09-03,NT,96.0,-0.137755102,"Rapid Creek Path Bridge [N], Foreshore Path [SE], Foreshore Path [W]",Darwin,-12.376238,130.860332,1,5483.0,2019,3.0
2019-09-03,NT,41.0,-0.054054054,"Rocklands Dr [N], Trower Rd [E], Trower Rd [W]",Darwin,-12.365103,130.87249,1,5484.0,2019,3.0
2019-09-03,NT,48.6,0.012658228,"Rocklands Dr [E], Roper St [S], Rocklands Dr [W], Florey Ave [N]",Darwin,-12.359174,130.882951,0,5485.0,2019,4.0
2019-09-03,NT,23.8,-0.327868852,"Henbury Ave [N], Tambling Tce [E], Henbury Ave [S]",Darwin,-12.365755,130.885704,0,5486.0,2019,3.0
2019-09-03,NT,12.4,1.545454545,"Trower Rd [E], Rothdale Rd [S], Trower Rd [W]",Darwin,-12.382667,130.876676,0,5487.0,2019,3.0
2019-09-03,NT,27.0,0.195652174,"Lee Point Rd [NE], Lee Point Rd [SE], Parer Dr [SW], Parer Dr [NW]",Darwin,-12.386554,130.886736,0,5488.0,2019,4.0
2019-09-03,NT,50.0,-0.101010101,"Stuart Hwy path [N], Stuart Hwy [NE], McMinn St [SE], Daly St [SW], McMinn St [NW]",Darwin,-12.454653,130.839183,1,5507.0,2019,5.0
2019-09-24,NT,54.4,-0.067307692,"Stuart Hwy/Bike Path [N], Westralia St [E], Stuart Hwy/Bike Path [S]",Darwin,-12.445064,130.84106,0,5508.0,2019,3.0
2019-09-03,NT,16.0,-0.117647059,"Tiger Brennan Dr [NE], Stoddart Dr [SE], Tiger Brennan Dr [SW], Woolner Rd [NW]",Darwin,-12.43842,130.850134,0,5509.0,2019,4.0
2019-09-03,NT,51.0,-0.172413793,"Stuart Hwy [E], Stuart Hwy [SW], Stokes St [W], Parap Rd [N]",Darwin,-12.435826,130.843351,4,5510.0,2019,4.0
2019-09-03,NT,53.6,0.230769231,"Stuart Hwy [NE], Snell St [SE], Stuart Hwy [SW], Bagot Rd [N]",Darwin,-12.429357,130.856979,0,5512.0,2019,4.0
2019-09-03,NT,25.4,-0.080645161,"Bagot Rd [N], Bagot Rd [S], Fitzer Dr [W]",Darwin,-12.410494,130.856116,0,5513.0,2019,3.0
2019-09-03,NT,28.2,0.578947368,"Osgood Dr [E], Bagot Rd [S], Totem Rd [W], Bagot Rd [N]",Darwin,-12.402638,130.856105,0,5514.0,2019,4.0
2019-09-03,NT,23.6,0.466666667,"Bagot Rd [N], Old McMillans Rd [E], Bagot Rd [S], Old McMillans Rd [W]",Darwin,-12.395324,130.856016,1,5515.0,2019,4.0
2019-09-03,NT,15.0,-0.30952381,"Trower Rd [NE], Sabine Rd [SE], Trower Rd [SW]",Darwin,-12.387763,130.858441,0,5516.0,2019,3.0
2019-09-03,NT,26.4,0.018867925,"McMillans Rd [E], McMillans Rd [SW], Sabine Rd [NW]",Darwin,-12.39561,130.862539,0,5517.0,2019,3.0
2019-09-03,NT,43.2,-0.06741573,"Trower Rd [E], Rapid Creek Rd [S], Trower Rd [W], Rapid Creek Rd [N]",Darwin,-12.385471,130.864514,0,5518.0,2019,4.0
2019-09-03,NT,24.0,0.307692308,"Trower Rd [N], Vanderlin Dr [E], Trower Rd [S], Casuarina Shops [W]",Darwin,-12.375801,130.88271,1,5519.0,2019,4.0
2019-09-03,NT,24.4,0.131578947,"Lee Point Rd [N], Vanderlin Dr [E], Lee Point Rd [S], Vanderlin Rd [W]",Darwin,-12.377512,130.890756,3,5520.0,2019,4.0
2019-09-03,NT,21.0,0.916666667,"Vanderlin Dr/Bike Path [SE], Mueller Rd [SW], Vanderlin Dr/Bike Path [NW]",Darwin,-12.390698,130.911463,0,5521.0,2019,3.0
2019-09-03,NT,26.4,0.8,"Vanderlin Dr [N], McMillans Rd [SE], Vanderlin Dr [S], McMillans Rd [NW]",Darwin,-12.410151,130.922994,1,5523.0,2019,4.0
2019-09-03,NT,27.8,0.0,"McMillans Rd [E], Charles Eaton Dr [SE], McMillans Rd [W], Rapid Crk Cyclepath [NW]",Darwin,-12.395447,130.871723,4,5524.0,2019,4.0
2019-09-03,NT,25.8,0.710526316,"Rothdale Rd [N], McMillans Rd [E], Henry Wrigley Dr [S], McMillans Rd [W]",Darwin,-12.395413,130.878263,0,5525.0,2019,4.0
2019-09-03,NT,22.6,-0.018867925,"Lee Point Rd [N], McMillans Rd [E], Marrara Dr [S], McMillans Rd [W]",Darwin,-12.39541,130.882965,0,5526.0,2019,4.0
2019-09-24,NT,27.6,0.5,"Amy Johnson Ave [N], Stuart Hwy [E], Amy Johnson Ave [SW], Stuart Hwy [W]",Darwin,-12.427641,130.907681,2,5527.0,2019,4.0
2019-09-24,NT,18.6,-0.229166667,"Vanderlin Dr [N], Stuart Hwy [E], Berrimah Rd [S], Stuart Hwy [W]",Darwin,-12.433465,130.923379,1,5528.0,2019,4.0
2019-09-03,NT,59.8,0.402439024,"Dick Ward Dr [E], East point Rd/Bike Path [S], East Point Rd/Bike Path [NW]",Darwin,-12.424536,130.835473,11,5585.0,2019,3.0
2019-09-03,NT,82.4,-0.020134228,"Casuarina Foreshore Path [N], Casuarina Foreshore Path [E], Casuarina Foreshore Path [S]",Darwin,-12.371739,130.863139,1,5981.0,2019,3.0
2019-09-03,NT,8.4,0.058823529,"Rothdale Rd [S], Freshwater Rd [W], Rothdale Rd [N]",Darwin,-12.391632,130.877968,0,6188.0,2019,3.0
2019-09-03,NT,39.6,0.28,"Lee Point Rd [N], Lee Point Rd [S], Tambling Tce [W]",Darwin,-12.366516,130.892152,1,6808.0,2019,3.0
2019-09-03,NT,22.0,0.277777778,"Tiger Brennan Drive north bound [N], Frances Bay Drive north bound [NE], Frances Bay Drive south bound [S], Tiger Brennan Drive south bound [SW], Dinah Beach Rd [W]",Darwin,-12.45294,130.847549,0,6949.0,2019,5.0
2019-09-03,NT,17.4,0.027027027,"Dripstone Rd [SE], Lakeside Dr [SW], Dripstone Rd [NW]",Darwin,-12.374524,130.87454,0,7123.0,2019,3.0
2019-09-03,NT,3.0,,"Berrimah Rd [N], Tiger Brennan Dr [E], Berrimah Rd [S], Tiger Brennan Dr [W]",Darwin,-12.45,130.9235,0,7130.0,2019,4.0
2019-09-03,NT,45.0,0.423728814,"Fox Cr [NE], Nightcliff Rd [SE], Camphor St [SW], Nightcliff Rd [NW]",Darwin,-12.382654,130.853932,1,7249.0,2019,4.0
2019-09-04,NT,19.2,,"Garramilla Blvd [NE], McMinn St [SE], Garramilla Blvd [SW], McMinn St [NW]",Darwin,-12.458133,130.8427,0,7351.0,2019,4.0
2019-09-03,NT,30.6,1.03125,"McMillans Rd [NE], Stuart Hwy [SE], Stuart Hwy [NW]",Palmerston,-12.444442,130.952575,0,5500.0,2019,3.0
2019-09-03,NT,11.2,0.222222222,"Roystonea Ave [SE], University Ave [SW], Roystonea Ave [NW]",Palmerston,-12.475906,130.985374,0,5501.0,2019,3.0
2019-09-03,NT,21.2,-0.023809524,"Roystonea Ave [N], Lambrick Ave [E], Roystonea Ave [S], Lambrick Ave [W]",Palmerston,-12.502173,130.998955,0,5982.0,2019,4.0
2019-09-03,NT,16.8,0.034482759,"Lambrick Ave [E], Zuccoli Pde [S], Lambrick Ave [W], Farrar Blvd [N]",Palmerston,-12.501095,131.006133,1,6566.0,2019,4.0
2019-09-03,NT,6.8,0.058823529,"Temple Tce [NE], Roystonea Ave/Footpath [SE], Temple Tce/Footpath [SW], Roystonea Ave/Footpath [NW]",Palmerston,-12.479334,130.988479,1,6807.0,2019,4.0
2019-09-03,NT,2.8,-0.181818182,"Temple Terrace [NE], Farrar Boulevard [SE], Temple Terrace [SW], Toupein Road [NW]",Palmerston,-12.476771,130.99263,0,6951.0,2019,4.0
2019-09-03,NT,15.8,0.4,"Yarrawonga Rd [NE], Roystonea Ave [SE], Packard Ave [W], Roystonea Ave [NW]",Palmerston,-12.473,130.983,0,7127.0,2019,4.0
2019-09-03,NT,1.6,-0.5,"University Ave [E], Elrundie Ave [S], Kirkland Rd [W]",Palmerston,-12.481,130.97,0,7128.0,2019,3.0
2019-09-03,NT,5.4,0.125,"Howard Springs Rd [NE], Howard Springs shared path [SE], Howard Springs Rd [SW], Howard Springs shared path [NW]",Palmerston,-12.493,131.019,5,7129.0,2019,4.0
2021-07-27,NT,14.4,-0.452830189,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,130.837902,0,5467.0,2021,3.0
2021-07-27,NT,29.4,-0.388235294,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,130.835209,0,5468.0,2021,4.0
2021-07-27,NT,44.8,0.063291139,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,130.836128,1,5469.0,2021,4.0
2021-07-27,NT,38.8,-0.162790698,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,130.837168,1,5470.0,2021,4.0
2021-07-27,NT,34.4,0.340425532,"Gilruth Ave [N], Smith St [SE], Lambell Tce [SW], Kahlin Ave [NW]",Darwin,-12.452352,130.830522,0,5471.0,2021,4.0
2021-08-24,NT,40.8,0.178571429,"Atkins Dr [N], Gilruth Ave [NE], Gardens Rd [SE], Gilruth Ave [S], Maria Liveris Dr [SW]",Darwin,-12.444327,130.834038,0,5472.0,2021,5.0
2021-07-27,NT,55.0,-0.122641509,"East Point Rd [N], Goyder Rd [E], Gilruth Ave [SW], Goyder Rd [W]",Darwin,-12.438015,130.837831,1,5473.0,2021,4.0
2021-07-27,NT,48.0,0.046511628,"Gregory St [E], East Point Rd [S], East Point Rd [N]",Darwin,-12.432258,130.837681,0,5474.0,2021,3.0
2021-07-27,NT,71.0,0.336633663,"Dick Ward Dr [E], Ross Smith Ave [SE], Ross Smith Ave [W]",Darwin,-12.424494,130.838362,0,5475.0,2021,3.0
2021-08-24,NT,57.0,0.177777778,"Dick Ward Dr [NE], Douglas St [SE], Dick Ward Dr [SW]",Darwin,-12.42052,130.847323,0,5476.0,2021,3.0
2021-08-24,NT,58.6,0.25,"Dick Ward Dr [N], Fitzer Dr [E], Dick Ward Dr [S]",Darwin,-12.410053,130.8505,0,5477.0,2021,3.0
2021-07-27,NT,49.6,0.867924528,"Progress Dr [E], Dick Ward Dr [S], Progress Dr [W]",Darwin,-12.387972,130.852268,0,5478.0,2021,3.0
2021-07-27,NT,67.0,0.140186916,"Casuarina Dr/Shared Path [E], Nightcliff Rd [SE], Casuarina Dr/Shared Path [SW], Foreshore Shared Path [W]",Darwin,-12.376827,130.849571,0,5480.0,2021,4.0
2021-08-24,NT,21.2,-0.204081633,"Rossiter St [NE], Ryland Rd [SE], Rossiter St [SW], Ryland Rd [NW]",Darwin,-12.380754,130.85885,0,5481.0,2021,4.0
2021-07-27,NT,28.2,-0.209677419,"Chapman Rd [NE], Nightcliff Rd [SE], Nightcliff Rd [NW]",Darwin,-12.384294,130.855426,0,5482.0,2021,3.0
2021-07-27,NT,123.0,0.278106509,"Rapid Creek Path Bridge [N], Foreshore Path [SE], Foreshore Path [W]",Darwin,-12.376238,130.860332,0,5483.0,2021,3.0
2021-07-27,NT,32.0,-0.185714286,"Rocklands Dr [N], Trower Rd [E], Trower Rd [W]",Darwin,-12.365103,130.87249,0,5484.0,2021,3.0
2021-07-27,NT,40.6,-0.0875,"Rocklands Dr [E], Roper St [S], Rocklands Dr [W], Florey Ave [N]",Darwin,-12.359174,130.882951,0,5485.0,2021,4.0
2021-07-27,NT,29.6,0.390243902,"Henbury Ave [N], Tambling Tce [E], Henbury Ave [S]",Darwin,-12.365755,130.885704,0,5486.0,2021,3.0
2021-07-27,NT,7.4,-0.428571429,"Trower Rd [E], Rothdale Rd [S], Trower Rd [W]",Darwin,-12.382667,130.876676,0,5487.0,2021,3.0
2021-07-27,NT,18.0,-0.254545455,"Lee Point Rd [NE], Lee Point Rd [SE], Parer Dr [SW], Parer Dr [NW]",Darwin,-12.386554,130.886736,0,5488.0,2021,4.0
2021-07-27,NT,39.4,-0.146067416,"Stuart Hwy path [N], Stuart Hwy [NE], McMinn St [SE], Daly St [SW], McMinn St [NW]",Darwin,-12.454653,130.839183,0,5507.0,2021,5.0
2021-07-27,NT,50.4,0.030927835,"Stuart Hwy/Bike Path [N], Westralia St [E], Stuart Hwy/Bike Path [S]",Darwin,-12.445064,130.84106,4,5508.0,2021,3.0
2021-08-24,NT,15.4,-0.033333333,"Tiger Brennan Dr [NE], Stoddart Dr [SE], Tiger Brennan Dr [SW], Woolner Rd [NW]",Darwin,-12.43842,130.850134,2,5509.0,2021,4.0
2021-07-27,NT,44.2,-0.114583333,"Stuart Hwy [E], Stuart Hwy [SW], Stokes St [W], Parap Rd [N]",Darwin,-12.435826,130.843351,14,5510.0,2021,4.0
2021-08-24,NT,26.8,,"Stuart Hwy [NE], Stuart Hwy [SW], Ross Smith Ave [NW]",Darwin,-12.432985,130.849083,11,5511.0,2021,3.0
