Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year
3/09/2019,0,15,0,0,16,8,0,0,18,13,0,0,0,0,0,0,0,0,0,0,3,NT,41.0,-0.054054054,"Rocklands Dr [N], Trower Rd [E], Trower Rd [W]",Darwin,-12.365103,15,34,49,24,13,37,31,23,54,0,0,0,0,0,0,130.87249,1,5484,2019
3/09/2019,0,13,24,0,0,0,6,0,6,1,28,0,0,0,2,0,0,0,0,0,4,NT,48.6,0.012658228,"Rocklands Dr [E], Roper St [S], Rocklands Dr [W], Florey Ave [N]",Darwin,-12.359174,37,6,43,6,1,7,35,15,50,2,58,60,0,0,0,130.882951,0,5485,2019
3/09/2019,2,6,0,0,8,14,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3,NT,23.8,-0.327868852,"Henbury Ave [N], Tambling Tce [E], Henbury Ave [S]",Darwin,-12.365755,8,17,25,22,4,26,11,20,31,0,0,0,0,0,0,130.885704,0,5486,2019
3/09/2019,2,4,0,0,2,5,0,0,14,1,0,0,0,0,0,0,0,0,0,0,3,NT,12.4,1.545454545,"Trower Rd [E], Rothdale Rd [S], Trower Rd [W]",Darwin,-12.382667,6,16,22,7,3,10,15,9,24,0,0,0,0,0,0,130.876676,0,5487,2019
3/09/2019,1,8,9,0,2,2,12,0,8,0,4,0,2,6,1,0,0,0,0,0,4,NT,27.0,0.195652174,"Lee Point Rd [NE], Lee Point Rd [SE], Parer Dr [SW], Parer Dr [NW]",Darwin,-12.386554,18,12,30,16,7,23,12,11,23,9,25,34,0,0,0,130.886736,0,5488,2019
3/09/2019,1,0,28,0,0,5,16,0,2,2,0,1,17,8,0,0,2,0,4,3,5,NT,50.0,-0.101010101,"Stuart Hwy path [N], Stuart Hwy [NE], McMinn St [SE], Daly St [SW], McMinn St [NW]",Darwin,-12.454653,29,21,50,21,11,32,5,9,14,25,47,72,9,1,10,130.839183,1,5507,2019
24/09/2019,1,49,0,0,5,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,3,NT,54.4,-0.067307692,"Stuart Hwy/Bike Path [N], Westralia St [E], Stuart Hwy/Bike Path [S]",Darwin,-12.445064,50,44,94,5,4,9,42,49,91,0,0,0,0,0,0,130.84106,0,5508,2019
3/09/2019,2,5,0,0,0,4,5,0,4,2,2,0,1,2,3,0,0,0,0,0,4,NT,16.0,-0.117647059,"Tiger Brennan Dr [NE], Stoddart Dr [SE], Tiger Brennan Dr [SW], Woolner Rd [NW]",Darwin,-12.43842,7,5,12,9,6,15,8,12,20,6,7,13,0,0,0,130.850134,0,5509,2019
3/09/2019,40,0,2,0,25,1,8,0,0,0,0,0,3,16,1,0,0,0,0,0,4,NT,51.0,-0.172413793,"Stuart Hwy [E], Stuart Hwy [SW], Stokes St [W], Parap Rd [N]",Darwin,-12.435826,42,28,70,34,56,90,0,2,2,20,10,30,0,0,0,130.843351,4,5510,2019
3/09/2019,68,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,4,NT,53.6,0.230769231,"Stuart Hwy [NE], Snell St [SE], Stuart Hwy [SW], Bagot Rd [N]",Darwin,-12.429357,68,0,68,0,86,86,0,10,10,28,0,28,0,0,0,130.856979,0,5512,2019
3/09/2019,36,3,0,0,15,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,NT,25.4,-0.080645161,"Bagot Rd [N], Bagot Rd [S], Fitzer Dr [W]",Darwin,-12.410494,39,16,55,15,38,53,3,3,6,0,0,0,0,0,0,130.856116,0,5513,2019
3/09/2019,16,0,0,0,0,0,15,0,0,4,4,0,0,17,4,0,0,0,0,0,4,NT,28.2,0.578947368,"Osgood Dr [E], Bagot Rd [S], Totem Rd [W], Bagot Rd [N]",Darwin,-12.402638,16,0,16,15,37,52,8,4,12,21,19,40,0,0,0,130.856105,0,5514,2019
3/09/2019,1,13,1,0,1,4,0,0,18,4,0,0,0,1,1,0,0,0,0,0,4,NT,23.6,0.466666667,"Bagot Rd [N], Old McMillans Rd [E], Bagot Rd [S], Old McMillans Rd [W]",Darwin,-12.395324,15,19,34,5,6,11,22,18,40,2,1,3,0,0,0,130.856016,1,5515,2019
3/09/2019,5,9,0,0,2,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,3,NT,15.0,-0.30952381,"Trower Rd [NE], Sabine Rd [SE], Trower Rd [SW]",Darwin,-12.387763,14,13,27,3,6,9,12,10,22,0,0,0,0,0,0,130.858441,0,5516,2019
3/09/2019,37,4,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,NT,26.4,0.018867925,"McMillans Rd [E], McMillans Rd [SW], Sabine Rd [NW]",Darwin,-12.39561,41,9,50,11,39,50,2,6,8,0,0,0,0,0,0,130.862539,0,5517,2019
3/09/2019,0,21,16,0,5,0,7,0,11,0,1,0,14,7,1,0,0,0,0,0,4,NT,43.2,-0.06741573,"Trower Rd [E], Rapid Creek Rd [S], Trower Rd [W], Rapid Creek Rd [N]",Darwin,-12.385471,37,30,67,12,7,19,12,22,34,22,24,46,0,0,0,130.864514,0,5518,2019
3/09/2019,1,11,0,0,9,15,0,0,13,1,0,0,1,0,0,0,0,0,0,0,4,NT,24.0,0.307692308,"Trower Rd [N], Vanderlin Dr [E], Trower Rd [S], Casuarina Shops [W]",Darwin,-12.375801,12,23,35,24,2,26,14,26,40,1,0,1,0,0,0,130.88271,1,5519,2019
3/09/2019,6,6,4,0,1,1,4,0,4,3,2,0,1,5,6,0,0,0,0,0,4,NT,24.4,0.131578947,"Lee Point Rd [N], Vanderlin Dr [E], Lee Point Rd [S], Vanderlin Rd [W]",Darwin,-12.377512,16,6,22,6,14,20,9,13,22,12,10,22,0,0,0,130.890756,3,5520,2019
3/09/2019,2,18,0,0,0,3,0,0,15,8,0,0,0,0,0,0,0,0,0,0,3,NT,21.0,0.916666667,"Vanderlin Dr/Bike Path [SE], Mueller Rd [SW], Vanderlin Dr/Bike Path [NW]",Darwin,-12.390698,20,15,35,3,10,13,23,21,44,0,0,0,0,0,0,130.911463,0,5521,2019
3/09/2019,7,5,3,0,7,3,19,0,2,0,1,0,7,7,11,0,0,0,0,0,4,NT,26.4,0.8,"Vanderlin Dr [N], McMillans Rd [SE], Vanderlin Dr [S], McMillans Rd [NW]",Darwin,-12.410151,15,16,31,29,14,43,3,19,22,25,23,48,0,0,0,130.922994,1,5523,2019
3/09/2019,1,36,1,0,0,0,1,0,12,0,1,0,4,4,0,0,0,0,0,0,4,NT,27.8,0.0,"McMillans Rd [E], Charles Eaton Dr [SE], McMillans Rd [W], Rapid Crk Cyclepath [NW]",Darwin,-12.395447,38,16,54,1,5,6,13,36,49,8,3,11,0,0,0,130.871723,4,5524,2019
3/09/2019,5,3,8,0,1,0,31,0,1,0,0,0,3,13,0,0,0,0,0,0,4,NT,25.8,0.710526316,"Rothdale Rd [N], McMillans Rd [E], Henry Wrigley Dr [S], McMillans Rd [W]",Darwin,-12.395413,16,5,21,32,18,50,1,3,4,16,39,55,0,0,0,130.878263,0,5525,2019
