Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg1-6,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg2-6,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg3-6,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg4-6,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Leg5-6,Leg6-1,Leg6-2,Leg6-3,Leg6-4,Leg6-5,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,longitude,not known,site_id,year
2019-09-03,4.0,1.0,,,,1.0,7.0,,,,3.0,37.0,,,,,,,,,,,,,,,,,,,3.0,NT,23.0,-0.070175439,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,5.0,4.0,9.0,8.0,41.0,49.0,40.0,8.0,48.0,,,,,,,,,,130.837902,0,5467.0,2019
2019-09-03,5.0,7.0,4.0,,,1.0,0.0,4.0,,,1.0,1.0,10.0,,,5.0,18.0,29.0,,,,,,,,,,,,,4.0,NT,44.8,-0.04494382,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,16.0,7.0,23.0,5.0,24.0,29.0,12.0,36.0,48.0,52.0,18.0,70.0,,,,,,,130.835209,10,5468.0,2019
2019-09-03,14.0,10.0,5.0,,,1.0,1.0,5.0,,,6.0,0.0,2.0,,,7.0,22.0,6.0,,,,,,,,,,,,,4.0,NT,42.0,-0.05952381,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,29.0,14.0,43.0,7.0,36.0,43.0,8.0,17.0,25.0,35.0,12.0,47.0,,,,,,,130.836128,1,5469.0,2019
2019-09-24,20.0,24.0,1.0,,,5.0,1.0,4.0,,,8.0,1.0,1.0,,,4.0,15.0,2.0,,,,,,,,,,,,,4.0,NT,48.4,-0.011494253,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,45.0,17.0,62.0,10.0,36.0,46.0,10.0,27.0,37.0,21.0,6.0,27.0,,,,,,,130.837168,1,5470.0,2019
2019-09-03,5.0,13.0,1.0,,,3.0,1.0,3.0,,,7.0,0.0,1.0,,,7.0,4.0,2.0,,,,,,,,,,,,,4.0,NT,25.0,-0.253968254,"Gilruth Ave [N], Smith St [SE], Lambell Tce [SW], Kahlin Ave [NW]",Darwin,-12.452352,19.0,17.0,36.0,7.0,9.0,16.0,8.0,16.0,24.0,13.0,5.0,18.0,,,,,,,130.830522,1,5471.0,2019
2019-09-03,0.0,2.0,9.0,0.0,,0.0,10.0,11.0,0.0,,2.0,3.0,1.0,0.0,,13.0,4.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,,,5.0,NT,31.6,0.166666667,"Atkins Dr [N], Gilruth Ave [NE], Gardens Rd [SE], Gilruth Ave [S], Maria Liveris Dr [SW]",Darwin,-12.444327,11.0,16.0,27.0,21.0,7.0,28.0,6.0,12.0,18.0,17.0,21.0,38.0,1.0,0.0,1.0,,,,130.834038,3,5472.0,2019
2019-09-03,1.0,30.0,7.0,,,2.0,5.0,26.0,,,14.0,2.0,17.0,,,0.0,1.0,1.0,,,,,,,,,,,,,4.0,NT,60.8,-0.131147541,"East Point Rd [N], Goyder Rd [E], Gilruth Ave [SW], Goyder Rd [W]",Darwin,-12.438015,38.0,16.0,54.0,33.0,4.0,37.0,33.0,36.0,69.0,2.0,50.0,52.0,,,,,,,130.837831,5,5473.0,2019
2019-09-03,14.0,4.0,,,,1.0,26.0,,,,9.0,32.0,,,,,,,,,,,,,,,,,,,3.0,NT,49.8,-0.054945055,"Gregory St [E], East Point Rd [S], East Point Rd [N]",Darwin,-12.432258,18.0,10.0,28.0,27.0,46.0,73.0,41.0,30.0,71.0,,,,,,,,,,130.837681,86,5474.0,2019
2019-09-03,7.0,36.0,,,,6.0,13.0,,,,20.0,19.0,,,,,,,,,,,,,,,,,,,3.0,NT,55.6,0.24691358,"Dick Ward Dr [E], Ross Smith Ave [SE], Ross Smith Ave [W]",Darwin,-12.424494,43.0,26.0,69.0,19.0,26.0,45.0,39.0,49.0,88.0,,,,,,,,,,130.838362,0,5475.0,2019
2019-09-03,10.0,48.0,,,,1.0,0.0,,,,31.0,0.0,,,,,,,,,,,,,,,,,,,3.0,NT,48.4,0.25,"Dick Ward Dr [NE], Douglas St [SE], Dick Ward Dr [SW]",Darwin,-12.42052,58.0,32.0,90.0,1.0,10.0,11.0,31.0,48.0,79.0,,,,,,,,,,130.847323,0,5476.0,2019
