site_id,year,Count_Date,electorate,Trips/hour
5467.0,2019,2019-09-03,Darwin,23.0
5467.0,2021,2021-07-27,Darwin,14.4
5468.0,2019,2019-09-03,Darwin,44.8
5468.0,2021,2021-07-27,Darwin,29.4
5469.0,2019,2019-09-03,Darwin,42.0
5469.0,2021,2021-07-27,Darwin,44.8
5470.0,2019,2019-09-24,Darwin,48.4
5470.0,2021,2021-07-27,Darwin,38.8
5471.0,2019,2019-09-03,Darwin,25.0
5471.0,2021,2021-07-27,Darwin,34.4
5471.0,2023,2023-07-25,Darwin,32.0
5472.0,2019,2019-09-03,Darwin,31.6
5472.0,2021,2021-08-24,Darwin,40.8
5472.0,2023,2023-07-25,Darwin,32.4
5473.0,2019,2019-09-03,Darwin,60.8
5473.0,2021,2021-07-27,Darwin,55.0
5473.0,2023,2023-08-01,Darwin,39.8
5474.0,2019,2019-09-03,Darwin,49.8
5474.0,2021,2021-07-27,Darwin,48.0
5474.0,2023,2023-07-25,Darwin,32.2
5475.0,2019,2019-09-03,Darwin,55.6
5475.0,2021,2021-07-27,Darwin,71.0
5475.0,2023,2023-07-25,Darwin,36.0
5476.0,2019,2019-09-03,Darwin,48.4
5476.0,2021,2021-08-24,Darwin,57.0
5476.0,2023,2023-07-25,Darwin,36.0
5477.0,2019,2019-09-03,Darwin,48.8
5477.0,2021,2021-08-24,Darwin,58.6
5477.0,2023,2023-07-25,Darwin,35.2
5478.0,2019,2019-09-03,Darwin,24.8
5478.0,2021,2021-07-27,Darwin,49.6
5478.0,2023,2023-07-25,Darwin,24.8
5480.0,2019,2019-09-03,Darwin,59.8
5480.0,2021,2021-07-27,Darwin,67.0
5480.0,2023,2023-07-25,Darwin,35.2
5481.0,2019,2019-09-03,Darwin,25.2
5481.0,2021,2021-08-24,Darwin,21.2
5481.0,2023,2023-07-25,Darwin,10.2
5482.0,2019,2019-09-03,Darwin,33.6
5482.0,2021,2021-07-27,Darwin,28.2
5482.0,2023,2023-08-01,Darwin,22.0
5483.0,2019,2019-09-03,Darwin,96.0
5483.0,2021,2021-07-27,Darwin,123.0
5483.0,2023,2023-07-25,Darwin,64.4
5484.0,2019,2019-09-03,Darwin,41.0
5484.0,2021,2021-07-27,Darwin,32.0
5484.0,2023,2023-07-25,Darwin,39.0
5485.0,2019,2019-09-03,Darwin,48.6
5485.0,2021,2021-07-27,Darwin,40.6
5485.0,2023,2023-07-25,Darwin,30.8
5486.0,2019,2019-09-03,Darwin,23.8
5486.0,2021,2021-07-27,Darwin,29.6
5486.0,2023,2023-07-25,Darwin,26.6
5487.0,2019,2019-09-03,Darwin,12.4
5487.0,2021,2021-07-27,Darwin,7.4
5487.0,2023,2023-07-25,Darwin,6.8
5488.0,2019,2019-09-03,Darwin,27.0
5488.0,2021,2021-07-27,Darwin,18.0
5488.0,2023,2023-07-25,Darwin,24.2
5500.0,2019,2019-09-03,Palmerston,30.6
5500.0,2021,2021-07-27,Palmerston,25.6
5500.0,2023,2023-08-08,Palmerston,12.6
5501.0,2019,2019-09-03,Palmerston,11.2
5501.0,2021,2021-07-27,Palmerston,8.0
5501.0,2023,2023-08-15,Palmerston,6.2
5507.0,2019,2019-09-03,Darwin,50.0
5507.0,2021,2021-07-27,Darwin,39.4
5507.0,2023,2023-07-25,Darwin,38.2
5508.0,2019,2019-09-24,Darwin,54.4
5508.0,2021,2021-07-27,Darwin,50.4
5508.0,2023,2023-07-25,Darwin,36.6
5509.0,2019,2019-09-03,Darwin,16.0
5509.0,2021,2021-08-24,Darwin,15.4
5509.0,2023,2023-07-25,Darwin,16.2
5510.0,2019,2019-09-03,Darwin,51.0
5510.0,2021,2021-07-27,Darwin,44.2
5510.0,2023,2023-07-25,Darwin,36.4
5511.0,2021,2021-08-24,Darwin,26.8
5511.0,2023,2023-08-09,Darwin,34.0
5512.0,2019,2019-09-03,Darwin,53.6
5512.0,2021,2021-08-24,Darwin,30.6
5512.0,2023,2023-07-25,Darwin,24.6
5513.0,2019,2019-09-03,Darwin,25.4
5513.0,2021,2021-08-24,Darwin,20.4
5513.0,2023,2023-08-01,Darwin,19.8
5514.0,2019,2019-09-03,Darwin,28.2
5514.0,2021,2021-08-24,Darwin,18.6
5514.0,2023,2023-08-15,Darwin,22.4
5515.0,2019,2019-09-03,Darwin,23.6
5515.0,2021,2021-07-27,Darwin,14.0
5515.0,2023,2023-07-25,Darwin,3.6
5516.0,2019,2019-09-03,Darwin,15.0
5516.0,2021,2021-07-27,Darwin,15.0
5516.0,2023,2023-08-03,Darwin,12.8
5517.0,2019,2019-09-03,Darwin,26.4
5517.0,2021,2021-07-27,Darwin,18.4
5517.0,2023,2023-08-03,Darwin,14.8
5518.0,2019,2019-09-03,Darwin,43.2
5518.0,2021,2021-07-27,Darwin,46.8
5518.0,2023,2023-08-01,Darwin,30.6
5519.0,2019,2019-09-03,Darwin,24.0
5519.0,2021,2021-07-27,Darwin,17.8
5519.0,2023,2023-08-01,Darwin,17.8
5520.0,2019,2019-09-03,Darwin,24.4
5520.0,2021,2021-07-27,Darwin,30.6
5520.0,2023,2023-07-25,Darwin,20.0
5521.0,2019,2019-09-03,Darwin,21.0
5521.0,2021,2021-09-07,Darwin,11.8
5521.0,2023,2023-08-01,Darwin,13.2
5523.0,2019,2019-09-03,Darwin,26.4
5523.0,2021,2021-07-27,Darwin,23.8
5523.0,2023,2023-07-25,Darwin,16.8
5524.0,2019,2019-09-03,Darwin,27.8
5524.0,2021,2021-08-24,Darwin,34.4
5524.0,2023,2023-07-25,Darwin,21.0
5525.0,2019,2019-09-03,Darwin,25.8
5525.0,2021,2021-08-24,Darwin,27.8
5525.0,2023,2023-07-25,Darwin,19.2
5526.0,2019,2019-09-03,Darwin,22.6
5526.0,2021,2021-07-27,Darwin,20.0
5526.0,2023,2023-07-25,Darwin,21.4
5527.0,2019,2019-09-24,Darwin,27.6
5527.0,2021,2021-08-24,Darwin,23.6
5527.0,2023,2023-08-15,Darwin,17.2
5528.0,2019,2019-09-24,Darwin,18.6
5528.0,2021,2021-07-27,Darwin,26.6
5528.0,2023,2023-08-08,Darwin,19.6
5585.0,2019,2019-09-03,Darwin,59.8
5585.0,2021,2021-07-27,Darwin,75.6
5585.0,2023,2023-07-25,Darwin,54.0
5981.0,2019,2019-09-03,Darwin,82.4
5981.0,2021,2021-07-27,Darwin,86.6
5981.0,2023,2023-07-25,Darwin,54.2
5982.0,2019,2019-09-03,Palmerston,21.2
5982.0,2021,2021-07-27,Palmerston,20.2
5982.0,2023,2023-08-08,Palmerston,23.4
6188.0,2019,2019-09-03,Darwin,8.4
6188.0,2021,2021-08-24,Darwin,3.8
6188.0,2023,2023-08-08,Darwin,6.4
6566.0,2019,2019-09-03,Palmerston,16.8
6566.0,2021,2021-08-24,Palmerston,23.4
6566.0,2023,2023-08-08,Palmerston,33.6
6807.0,2019,2019-09-03,Palmerston,6.8
6807.0,2021,2021-07-27,Palmerston,11.0
6807.0,2023,2023-07-25,Palmerston,6.8
6808.0,2019,2019-09-03,Darwin,39.6
6808.0,2021,2021-07-27,Darwin,28.8
6808.0,2023,2023-08-01,Darwin,17.4
6830.0,2021,2021-08-24,Darwin,14.0
6830.0,2023,2023-08-01,Darwin,19.4
6949.0,2019,2019-09-03,Darwin,22.0
6949.0,2021,2021-08-24,Darwin,23.4
6949.0,2023,2023-07-25,Darwin,26.0
6951.0,2019,2019-09-03,Palmerston,2.8
6951.0,2021,2021-07-27,Palmerston,8.0
6951.0,2023,2023-08-09,Palmerston,9.8
7123.0,2019,2019-09-03,Darwin,17.4
7123.0,2021,2021-07-27,Darwin,21.6
7123.0,2023,2023-07-25,Darwin,17.8
7127.0,2019,2019-09-03,Palmerston,15.8
7127.0,2021,2021-08-24,Palmerston,9.2
7127.0,2023,2023-08-15,Palmerston,8.6
7128.0,2019,2019-09-03,Palmerston,1.6
7128.0,2021,2021-09-07,Palmerston,6.2
7128.0,2023,2023-08-08,Palmerston,10.8
7129.0,2019,2019-09-03,Palmerston,5.4
7129.0,2021,2021-08-24,Palmerston,15.8
7129.0,2023,2023-07-25,Palmerston,12.4
7130.0,2019,2019-09-03,Darwin,3.0
7130.0,2021,2021-08-24,Darwin,5.4
7130.0,2023,2023-08-01,Darwin,6.6
7249.0,2019,2019-09-03,Darwin,45.0
7249.0,2021,2021-08-24,Darwin,47.6
7249.0,2023,2023-07-25,Darwin,26.4
7351.0,2019,2019-09-04,Darwin,19.2
7351.0,2021,2021-09-07,Darwin,19.8
7351.0,2023,2023-07-25,Darwin,36.2
7850.0,2023,2023-07-25,Palmerston,4.8
7851.0,2023,2023-08-15,Palmerston,10.6
7852.0,2023,2023-08-22,Palmerston,14.2
